----------------------------------------------------------------------
Marvellous Process Log
Log file created at : Fri Jun 14 11:39:57 2024
----------------------------------------------------------------------
{'name': 'khugepaged', 'username': 'root', 'pid': 96, 'vms': 0.0} 
{'name': 'kintegrityd', 'username': 'root', 'pid': 97, 'vms': 0.0} 
{'name': 'kblockd', 'username': 'root', 'pid': 98, 'vms': 0.0} 
{'name': 'blkcg_punt_bio', 'username': 'root', 'pid': 99, 'vms': 0.0} 
{'name': 'tpm_dev_wq', 'username': 'root', 'pid': 101, 'vms': 0.0} 
{'name': 'ata_sff', 'username': 'root', 'pid': 103, 'vms': 0.0} 
{'name': 'md', 'username': 'root', 'pid': 104, 'vms': 0.0} 
{'name': 'md_bitmap', 'username': 'root', 'pid': 105, 'vms': 0.0} 
{'name': 'edac-poller', 'username': 'root', 'pid': 106, 'vms': 0.0} 
{'name': 'devfreq_wq', 'username': 'root', 'pid': 107, 'vms': 0.0} 
{'name': 'watchdogd', 'username': 'root', 'pid': 108, 'vms': 0.0} 
{'name': 'kworker/0:1H-kblockd', 'username': 'root', 'pid': 110, 'vms': 0.0} 
{'name': 'kswapd0', 'username': 'root', 'pid': 111, 'vms': 0.0} 
{'name': 'ecryptfs-kthread', 'username': 'root', 'pid': 112, 'vms': 0.0} 
{'name': 'kthrotld', 'username': 'root', 'pid': 113, 'vms': 0.0} 
{'name': 'irq/123-aerdrv', 'username': 'root', 'pid': 114, 'vms': 0.0} 
{'name': 'irq/123-pcie-dpc', 'username': 'root', 'pid': 115, 'vms': 0.0} 
{'name': 'acpi_thermal_pm', 'username': 'root', 'pid': 116, 'vms': 0.0} 
{'name': 'hwrng', 'username': 'root', 'pid': 118, 'vms': 0.0} 
{'name': 'mld', 'username': 'root', 'pid': 120, 'vms': 0.0} 
{'name': 'kworker/6:1H-kblockd', 'username': 'root', 'pid': 121, 'vms': 0.0} 
{'name': 'ipv6_addrconf', 'username': 'root', 'pid': 122, 'vms': 0.0} 
{'name': 'kstrp', 'username': 'root', 'pid': 130, 'vms': 0.0} 
{'name': 'kworker/1:1-events', 'username': 'root', 'pid': 131, 'vms': 0.0} 
{'name': 'charger_manager', 'username': 'root', 'pid': 143, 'vms': 0.0} 
{'name': 'kworker/3:1H-kblockd', 'username': 'root', 'pid': 162, 'vms': 0.0} 
{'name': 'kworker/5:1H-events_highpri', 'username': 'root', 'pid': 166, 'vms': 0.0} 
{'name': 'kworker/1:1H-events_highpri', 'username': 'root', 'pid': 167, 'vms': 0.0} 
{'name': 'kworker/11:1H-kblockd', 'username': 'root', 'pid': 180, 'vms': 0.0} 
{'name': 'kworker/2:1H-kblockd', 'username': 'root', 'pid': 182, 'vms': 0.0} 
{'name': 'kworker/4:1H-events_highpri', 'username': 'root', 'pid': 183, 'vms': 0.0} 
{'name': 'kworker/10:1H-kblockd', 'username': 'root', 'pid': 184, 'vms': 0.0} 
{'name': 'kworker/9:1H-kblockd', 'username': 'root', 'pid': 185, 'vms': 0.0} 
{'name': 'kworker/7:1H-kblockd', 'username': 'root', 'pid': 186, 'vms': 0.0} 
{'name': 'kworker/8:1H-kblockd', 'username': 'root', 'pid': 187, 'vms': 0.0} 
{'name': 'scsi_eh_0', 'username': 'root', 'pid': 208, 'vms': 0.0} 
{'name': 'scsi_tmf_0', 'username': 'root', 'pid': 209, 'vms': 0.0} 
{'name': 'scsi_eh_1', 'username': 'root', 'pid': 210, 'vms': 0.0} 
{'name': 'scsi_tmf_1', 'username': 'root', 'pid': 211, 'vms': 0.0} 
{'name': 'irq/51-DELL086F:00', 'username': 'root', 'pid': 220, 'vms': 0.0} 
{'name': 'jbd2/sdb2-8', 'username': 'root', 'pid': 245, 'vms': 0.0} 
{'name': 'ext4-rsv-conver', 'username': 'root', 'pid': 246, 'vms': 0.0} 
{'name': 'systemd-journald', 'username': 'root', 'pid': 285, 'vms': 175.84765625} 
{'name': 'systemd-udevd', 'username': 'root', 'pid': 316, 'vms': 26.421875} 
{'name': 'kmemstick', 'username': 'root', 'pid': 414, 'vms': 0.0} 
{'name': 'cfg80211', 'username': 'root', 'pid': 427, 'vms': 0.0} 
{'name': 'irq/128-iwlwifi:default_queue', 'username': 'root', 'pid': 461, 'vms': 0.0} 
{'name': 'irq/129-iwlwifi:queue_1', 'username': 'root', 'pid': 462, 'vms': 0.0} 
{'name': 'irq/130-iwlwifi:queue_2', 'username': 'root', 'pid': 463, 'vms': 0.0} 
{'name': 'irq/131-iwlwifi:queue_3', 'username': 'root', 'pid': 464, 'vms': 0.0} 
{'name': 'irq/132-iwlwifi:queue_4', 'username': 'root', 'pid': 465, 'vms': 0.0} 
{'name': 'irq/133-iwlwifi:exception', 'username': 'root', 'pid': 466, 'vms': 0.0} 
{'name': 'kworker/9:2H', 'username': 'root', 'pid': 469, 'vms': 0.0} 
{'name': 'cryptd', 'username': 'root', 'pid': 503, 'vms': 0.0} 
{'name': 'ttm', 'username': 'root', 'pid': 585, 'vms': 0.0} 
{'name': 'card0-crtc0', 'username': 'root', 'pid': 603, 'vms': 0.0} 
{'name': 'card0-crtc1', 'username': 'root', 'pid': 604, 'vms': 0.0} 
{'name': 'card0-crtc2', 'username': 'root', 'pid': 605, 'vms': 0.0} 
{'name': 'nvkm-disp', 'username': 'root', 'pid': 627, 'vms': 0.0} 
{'name': 'systemd-oomd', 'username': 'systemd-oom', 'pid': 628, 'vms': 14.484375} 
{'name': 'systemd-resolved', 'username': 'systemd-resolve', 'pid': 629, 'vms': 26.09765625} 
{'name': 'systemd-timesyncd', 'username': 'systemd-timesync', 'pid': 631, 'vms': 87.2890625} 
{'name': 'ttm', 'username': 'root', 'pid': 668, 'vms': 0.0} 
{'name': 'card1-crtc0', 'username': 'root', 'pid': 669, 'vms': 0.0} 
{'name': 'card1-crtc1', 'username': 'root', 'pid': 670, 'vms': 0.0} 
{'name': 'card1-crtc2', 'username': 'root', 'pid': 671, 'vms': 0.0} 
{'name': 'card1-crtc3', 'username': 'root', 'pid': 672, 'vms': 0.0} 
{'name': 'accounts-daemon', 'username': 'root', 'pid': 709, 'vms': 234.87890625} 
{'name': 'acpid', 'username': 'root', 'pid': 712, 'vms': 2.75} 
{'name': 'avahi-daemon', 'username': 'avahi', 'pid': 718, 'vms': 7.53125} 
{'name': 'bluetoothd', 'username': 'root', 'pid': 720, 'vms': 10.48828125} 
{'name': 'cron', 'username': 'root', 'pid': 722, 'vms': 9.2734375} 
{'name': 'dbus-daemon', 'username': 'messagebus', 'pid': 724, 'vms': 10.88671875} 
{'name': 'NetworkManager', 'username': 'root', 'pid': 725, 'vms': 255.31640625} 
{'name': 'irqbalance', 'username': 'root', 'pid': 730, 'vms': 80.8359375} 
{'name': 'networkd-dispat', 'username': 'root', 'pid': 738, 'vms': 40.09375} 
{'name': 'polkitd', 'username': 'root', 'pid': 741, 'vms': 237.34765625} 
